,features,mean_abs_error,mean_error,median_abs_error,median_error,predict_time,r2,train_time,var_abs_error,var_error
without-partial-precip_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp.75.joblib,without-partial-precip.yml,0.570999376436427,-0.0036889876962195815,0.2966868257062476,0.012196543207409594,0:00:06.358755,0.993608787688071,0:10:10.712597,1.346386684346879,1.6724133636074443
no-lt-10_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp.75.joblib,no-lt-10.yml,0.5659753466482929,-0.0009169376490580852,0.32603446028012306,0.007554834329391191,0:00:06.342398,0.994127153611038,0:06:16.480115,1.2164549499117852,1.536782202150787
no-max_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp.75.joblib,no-max.yml,0.729811715733828,-0.004127275446024215,0.35723418790046324,0.01686213378274748,0:00:06.351407,0.9897887162080896,0:09:02.579211,2.1394229157640807,2.672031021783826
no-max-no-geo_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp.75.joblib,no-max-no-geo.yml,1.653470703296086,-0.004112233016090434,0.8054717097452383,0.026710644725510324,0:00:06.545232,0.9622358980632814,0:08:13.653943,7.147994358481637,9.881942814679688
