name,status,e,md,mf,mln,msl,mss,tdp,computer,train time,predict time,diff mean,abs diff mean,diff var,abs diff var,median,mode,training time (hours),r^2
rfm_e100_md60_mfSQRT_mln10000_msl8_mss10_tdp25.yml,complete,100.0,60.0,SQRT,10000.0,8.0,10.0,25.0,ocotal,0:13:36.423578,0:01:00.392887,-0.0043708893884189795,2.569443669368868,12.652355337758065,6.0503336723723695,0.07807841518895152,,,0.9347136498324072
rfm_e50_md60_mfSQRT_mln10000_msl2_mss10_tdp50.yml,complete,50.0,60.0,SQRT,10000.0,2.0,10.0,50.0,ocotal,0:16:17.128231,0:00:32.559466,-0.002355947375193607,2.582883033649356,12.753776664915984,6.082497449890275,0.08190464871693526,,,0.9341903849380524
rfm_e50_md60_mfSQRT_mln10000_msl2_mss10_tdp25.yml,complete,50.0,60.0,SQRT,10000.0,2.0,10.0,25.0,bristlecone,0:06:14.755555,0:00:24.988200,-0.0026990251615062787,2.5814906406071296,12.751980448517404,6.087893805712035,0.07865377985088973,,,0.9341996444798506
rfm_e50_md100_mfLOG2_mln10000_msl4_mss10_tdp75.yml,complete,50.0,100.0,LOG2,10000.0,4.0,10.0,75.0,bristlecone,0:22:10.648613,0:00:24.938973,-0.001144898484802925,2.5751427189864726,12.728028937154358,6.096670224797863,0.07655997829771888,,,0.9343232652896856
rfm_e50_md60_mfLOG2_mln10000_msl4_mss2_tdp25.yml,complete,50.0,60.0,LOG2,10000.0,4.0,2.0,25.0,ocotal,0:07:21.432486,0:00:34.750821,-0.0037188217508223923,2.5817223904322053,12.7474503475956,6.082173675971812,0.08218969461290726,,,0.9342229860639854
rfm_e50_md60_mfLOG2_mln10000_msl2_mss5_tdp75.yml,complete,50.0,60.0,LOG2,10000.0,2.0,5.0,75.0,finwhale,0:19:52.204096,0:00:23.944573,-0.0013547379995398085,2.5883814732955934,12.857635262376974,6.1579184463922,0.08000003616461893,,,0.9336544929406632
rfm_e10_md60_mfSQRT_mln10000_msl8_mss10_tdp25.yml,complete,10.0,60.0,SQRT,10000.0,8.0,10.0,25.0,ocotal,0:01:36.112765,0:00:07.991811,-0.004136485804922484,2.7079705537494347,14.0141803358054,6.68109292634625,0.09293814299858466,,,0.927686632579428
rfm_e10_md100_mfSQRT_mln10000_msl2_mss10_tdp50.yml,complete,10.0,100.0,SQRT,10000.0,2.0,10.0,50.0,ocotal,0:03:26.901802,0:00:07.699479,-0.0032719261460187788,2.710088062683504,14.030666521561654,6.6860999195627455,0.09689865188085632,,,0.9276015967830948
rfm_e10_md25_mfLOG2_mln10000_msl2_mss5_tdp75.yml,complete,10.0,25.0,LOG2,10000.0,2.0,5.0,75.0,ocotal,0:05:22.332666,0:00:08.250132,-0.0005764212015181469,2.678750897378744,13.780374125726867,6.604668087780883,0.0991847540133457,,,0.9288931610111408
rfm_e10_md25_mfLOG2_mln10000_msl2_mss5_tdp50.yml,complete,10.0,25.0,LOG2,10000.0,2.0,5.0,50.0,ocotal,0:03:18.938965,0:00:08.037611,-0.003453332755770781,2.7159676603549627,14.05936158553973,6.682893178952815,0.09740652788685727,,,0.9274535237353648
rfm_e10_md25_mfLOG2_mln10000_msl2_mss10_tdp25.yml,complete,10.0,25.0,LOG2,10000.0,2.0,10.0,25.0,bristlecone,0:01:15.142835,0:00:05.525431,-0.0021029925203602867,2.6791549438300253,13.818676438139825,6.6408096476685365,0.08702517152147228,,,0.9286954996762182
rfm_e10_md100_mfSQRT_mln10000_msl8_mss5_tdp75.yml,complete,10.0,100.0,SQRT,10000.0,8.0,5.0,75.0,bristlecone,0:04:32.529441,0:00:05.634610,-0.0008614916067365857,2.697438659911415,13.953158287809146,6.676983705992162,0.0844301120177906,,,0.9280015912807528
rfm_e100_md25_mfAUTO_mln5000_msl4_mss5_tdp25.yml,complete,100.0,25.0,AUTO,5000.0,4.0,5.0,25.0,ocotal,0:43:43.361798,0:00:57.385503,-0.0022134924171504887,2.839414456266076,15.588340443901947,7.526070888997866,0.08154823326188376,,,0.9195640172319898
rfm_e50_md25_mfAUTO_mln5000_msl4_mss10_tdp50.yml,complete,50.0,25.0,AUTO,5000.0,4.0,10.0,50.0,finwhale,0:41:02.263415,0:00:20.719186,-0.002911199811464836,2.8555113856097685,15.67015202894707,7.51621523068435,0.0794176762343359,,,0.9191418503693984
rfm_e50_md25_mfAUTO_mln5000_msl4_mss10_tdp25.yml,complete,50.0,25.0,AUTO,5000.0,4.0,10.0,25.0,bristlecone,0:20:48.063877,0:00:21.559478,-0.0013467434157991565,2.8032088379212285,15.127349718746991,7.269371743465138,0.07883071584684376,,,0.9219427488689684
rfm_e100_md25_mfAUTO_mln5000_msl2_mss2_tdp50.yml,complete,100.0,25.0,AUTO,5000.0,2.0,2.0,50.0,bristlecone,1:29:30.409901,0:00:41.574642,-0.00206559305439217,2.848844138629837,15.645211485816937,7.529302826286021,0.08907035058189461,,,0.9192705654806432
rfm_e50_md100_mfAUTO_mln5000_msl1_mss2_tdp75.yml,complete,50.0,100.0,AUTO,5000.0,1.0,2.0,75.0,finwhale,1:06:34.315103,0:00:21.328899,-0.0007500798374480352,2.9076164697867144,16.36569346753873,7.911460494783579,0.08284942064427092,,,0.9155528919848162
rfm_e50_md60_mfAUTO_mln5000_msl8_mss5_tdp50.yml,complete,50.0,60.0,AUTO,5000.0,8.0,5.0,50.0,ocotal,0:51:43.707697,0:00:30.226151,-0.0014227749471465332,2.8730947262668463,15.925033599721123,7.670362317907295,0.0895313630831891,,,0.9178266927752547
rfm_e10_md25_mfAUTO_mln5000_msl8_mss5_tdp75.yml,complete,10.0,25.0,AUTO,5000.0,8.0,5.0,75.0,ocotal,0:17:37.714774,0:00:07.626894,-0.0006161601860329418,2.9379403956206582,16.78795078411956,8.156457395553224,0.08760418649870899,,,0.9133740419032492
rfm_e10_md100_mfAUTO_mln5000_msl2_mss5_tdp75.yml,complete,10.0,100.0,AUTO,5000.0,2.0,5.0,75.0,finwhale,0:15:42.684931,0:00:05.486868,-0.0003792898181719976,2.9575408771600107,17.057028513570792,8.309980617359242,0.07845988483711874,,,0.9119855999508588
rfm_e100_md100_mfSQRT_mln5000_msl2_mss2_tdp25.yml,complete,100.0,100.0,SQRT,5000.0,2.0,2.0,25.0,bristlecone,0:11:29.054907,0:00:45.142717,-0.0012605767249918097,3.1293575515367857,17.93389607691814,8.141018980611456,0.12544453507495834,,,0.9074609490718372
rfm_e100_md60_mfLOG2_mln5000_msl8_mss10_tdp75.yml,complete,100.0,60.0,LOG2,5000.0,8.0,10.0,75.0,ocotal,0:46:15.189875,0:00:59.117519,-0.0010202599841368225,3.1330990007048864,18.02809534367117,8.211787036383603,0.1274061499625767,,,0.9069748829537512
