,features,mean_abs_error,mean_error,median_abs_error,median_error,predict_time,r2,train_time,var_abs_error,var_error
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss2_tdp75.joblib,ACP-training-base.yml,1.3110871381813933,-0.0038665537285807717,0.8532711690973351,0.01790493150460637,0:00:41.825545,0.9792407228477487,1:59:50.541229,2.2538674429184833,3.9728019765854232
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss7_tdp75.joblib,ACP-training-base.yml,1.3370840680320326,-0.0033957854474965837,0.8691357368044929,0.019100411381173688,0:00:41.905421,0.9781834682125846,1:59:58.300665,2.3873557502690566,4.175138023895355
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss10_tdp75.joblib,ACP-training-base.yml,1.3460073401914139,-0.0041446028837320206,0.8755960621761798,0.017577819233256076,0:00:41.754515,0.9779612250086434,1:59:48.510782,2.4059456984194028,4.217664280535502
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss15_tdp75.joblib,ACP-training-base.yml,1.345532561783104,-0.0035341225850019043,0.8779913235133536,0.017516686322434527,0:00:42.037613,0.9781630809175446,1:59:55.808675,2.3685933091017377,4.179038693897917
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss25_tdp75.joblib,ACP-training-base.yml,1.3371657238647223,-0.0036902671275694356,0.8696886224869771,0.01898502808859792,0:00:41.347225,0.9781853899517001,1:59:51.931593,2.38676960840228,4.174768163409471
