,name,training data,sp+1,sp,ewp,lsp,fdd,fwp,long,tdd+1,tdd,lat,slope,elev,aspect,labels,random
ACP-training-base_rfm_e50_md2_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,17.082,0.0,40.306,0.0,16.866,0.0,0.0,15.061,0.0,10.685,0.0,0.0,0.0,,
ACP-training-base_rfm_e50_md100_mfSQRT_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,12.171,11.376,12.22,10.198,9.827,10.256,8.471,9.115,8.747,6.9,0.64,0.074,0.005,,
ACP-training-base_rfm_e50_md18_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.638,13.639,12.8,8.919,9.234,9.545,8.076,8.58,8.308,7.25,0.011,0.0,0.0,,
ACP-training-base_rfm_e50_md1_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,24.259,0.0,54.103,0.0,0.0,0.0,0.0,21.638,0.0,0.0,0.0,0.0,0.0,,
ACP-training-base_rfm_e50_md60_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md60,base,13.409,12.712,11.746,9.783,9.586,9.722,9.265,8.177,8.404,7.171,0.025,0.001,0.0,,
ACP-training-base_rfm_e50_md100_mf10_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.26,12.168,11.4,10.43,9.911,9.931,9.035,8.442,8.389,6.936,0.096,0.001,0.001,,
ACP-training-base_rfm_e50_md80_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.251,12.89,11.678,9.931,9.615,9.559,8.983,8.192,8.553,7.321,0.026,0.001,0.0,,
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl16_mss5_tdp75,baseline-ACP-training-base,base,13.185,12.779,11.843,9.91,9.652,9.67,9.081,8.109,8.469,7.279,0.022,0.001,0.0,,
ACP-training-base_rfm_e50_md100_mfAUTO_mln25000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.57,12.79,11.903,9.874,9.553,9.666,9.002,8.154,8.381,7.088,0.021,0.0,0.0,,
ACP-training-base_rfm_e50_md100_mfAUTO_mln100000_msl8_mss5_tdp75,baseline-ACP-training-base,base,13.363,12.78,11.593,9.847,9.644,9.552,9.284,8.206,8.335,7.365,0.026,0.002,0.002,,
