,features,mean_abs_error,mean_error,median_abs_error,median_error,predict_time,r2,train_time,var_abs_error,var_error
ACP-training-base_rfm_e1_md100_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.7476561066341625,-0.0036725291609798314,1.034328891282433,0.0186122010295085,0:00:03.687320,0.9527996616502965,0:09:15.981510,5.978686216883788,9.032974596469026
ACP-training-base_rfm_e4_md100_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.4186582552680083,-0.002995911372654359,0.8867338984315545,0.017935642158700915,0:00:03.888081,0.9741570279114441,0:11:20.302652,2.9331203130113392,4.945702582766441
ACP-training-base_rfm_e12_md100_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.3530873952786955,-0.003769834291162011,0.8718869818071888,0.020010174244166512,0:00:06.001772,0.9774469593881077,0:18:17.043349,2.4852537963503942,4.316085083961898
ACP-training-base_rfm_e25_md100_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.3471432253487832,-0.004652367414473226,0.8737617457621858,0.017951082867467938,0:00:14.914334,0.9778684890725494,0:45:16.310535,2.420633974277017,4.235407199357591
ACP-training-base_rfm_e60_md100_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.3220151067763866,-0.004026743113803182,0.8603067573168106,0.019054544444634836,0:00:28.639395,0.9788884008453889,1:30:19.442861,2.2925187816410504,4.040226509525922
ACP-training-base_rfm_e75_md100_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.3211059636190472,-0.0038616950553265637,0.8613973842572111,0.018190153561878475,0:00:37.724783,0.9790363966348968,1:58:41.079211,2.2665989897012624,4.01190504412236
ACP-training-base_rfm_e100_md100_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.3546724971044581,-0.00476909944707536,0.8800515041625545,0.01725840913723964,0:00:49.313593,0.9775866090193014,2:34:34.845973,2.454236203999366,4.289351034101053
