,name,training data,lsp,sp+1,fdd,ewp,fwp,tdd,sp,tdd+1,lat,long,slope,aspect,elev,random,labels
SP-rf-training-set_rfm_e50_md100_mfAUTO_mln25000_msl8_mss5_tdp75,baseline-mln25000,base,14.758,13.226,11.234,11.425,11.115,10.618,9.488,8.062,5.123,4.922,0.021,0.002,0.004,,
SP-rf-training-set_rfm_e50_md5_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md5,base,9.427,6.597,12.735,10.825,12.163,24.327,3.144,8.036,10.147,2.599,0.0,0.0,0.0,,
SP-rf-training-set_rfm_e1_md100_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-e1,base,14.85,13.329,10.944,12.167,10.304,10.495,9.268,8.532,5.139,4.941,0.021,0.004,0.005,,
SP-rf-training-set_rfm_e50_md14_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md14,base,14.439,13.246,11.464,11.836,10.696,11.718,8.906,7.958,5.243,4.488,0.005,0.0,0.001,,
without-partial-precip_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp75,baseline,without-partial-precip,,15.859,15.271,,15.001,13.77,14.863,11.147,6.867,7.01,0.187,0.01,0.015,,
SP-rf-training-set_rfm_e50_md4_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md4,base,8.974,4.168,16.403,5.264,12.215,31.806,3.968,9.345,7.858,0.0,0.0,0.0,0.0,,
SP-rf-training-set_rfm_e50_md100_mfAUTO_mln50000_msl8_mss25_tdp75,baseline-mss25,base,14.773,13.103,11.35,11.801,10.868,10.656,9.179,7.939,5.179,5.123,0.023,0.002,0.003,,
SP-rf-training-set_rfm_e50_md15_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md15,base,14.568,13.396,11.193,11.754,10.449,11.474,9.276,8.075,5.251,4.558,0.004,0.001,0.001,,
SP-rf-training-set_rfm_e50_md100_mfSQRT_mln50000_msl8_mss5_tdp75,baseline-mfSQRT,base,13.048,11.77,11.342,11.21,10.902,10.995,10.079,8.621,6.288,5.178,0.442,0.04,0.086,,
SP-rf-training-set_rfm_e50_md16_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md16,base,14.484,13.497,11.424,11.575,10.654,11.315,9.218,8.16,5.013,4.65,0.009,0.001,0.001,,
with-random_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp75,baseline,with-random,14.696,13.291,11.419,11.801,11.041,10.412,9.242,7.97,5.204,4.894,0.022,0.003,0.004,0.002,
SP-rf-training-set_rfm_e50_md100_mfAUTO_mln12500_msl8_mss5_tdp75,baseline-mln12500,base,14.545,12.956,11.585,11.765,11.231,10.655,8.978,8.104,5.192,4.97,0.017,0.001,0.002,,
SP-rf-training-set_rfm_e50_md30_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md30,base,14.65,13.1,11.556,11.876,11.11,10.572,9.08,7.749,5.12,5.157,0.024,0.002,0.004,,
SP-rf-training-set_rfm_e50_md7_mfAUTO_mln50000_msl8_mss5_tdp75,baseline-md7,base,11.283,12.753,12.349,9.936,11.043,17.697,6.401,7.766,7.658,3.114,0.0,0.0,0.0,,
