,features,mean_abs_error,mean_error,median_abs_error,median_error,predict_time,r2,train_time,var_abs_error,var_error
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl1_mss5_tdp75.joblib,ACP-training-base.yml,1.3408806898807772,-0.0048813843929717575,0.8756246199360564,0.01656351157132896,0:00:26.241744,0.9786073382001304,1:21:42.535089,2.2960702023632704,4.094007398944814
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl4_mss5_tdp75.joblib,ACP-training-base.yml,1.3559441032571207,-0.003998951093173952,0.882112884370552,0.018656317744982998,0:00:26.671010,0.9778392473223332,1:21:30.951741,2.40244058712495,4.2410090066728365
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl12_mss5_tdp75.joblib,ACP-training-base.yml,1.3123667978882383,-0.0035021131068734015,0.8463169157616841,0.019689218670732034,0:00:26.019347,0.9788053901952007,1:21:45.834953,2.333822316200533,4.056116663603741
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl16_mss5_tdp75.joblib,ACP-training-base.yml,1.3340484822344563,-0.003729787348200682,0.8580651589435031,0.020365437051822255,0:00:26.052764,0.9777459027042273,1:21:37.958461,2.479203517763122,4.25887495940152
