name,mean error,median error,var error,mean abs error,medain abs error,var abs error,r^2,time
rfm_e50_md60_mfAUTO_mln50000_msl8_mss5_tdp25.yml,-0.0074649869762765655,0.02365385002117648,4.615954712581809,1.341482457655878,0.8348587595797274,2.8164352544139213,0.9758798248703936,48.6
rfm_e50_md60_mfAUTO_mln50000_msl4_mss5_tdp25.yml,-0.008045791654176638,0.021079827694041157,4.3893985174602665,1.3392879817097585,0.8496079581569154,2.5957709542714102,0.9770636085475508,48.7
rfm_e50_md60_mfAUTO_mln50000_msl4_mss5_tdp25.yml,-0.008045791654176664,0.021079827694041157,4.3893985174602665,1.3392879817097585,0.8496079581569145,2.5957709542714102,0.9770636085475508,48.7
rfm_e10_md60_mfAUTO_mln50000_msl8_mss5_tdp50.yml,-0.004427834581431149,0.01868227564940117,4.34889588738229,1.3417555286894307,0.8500910661760559,2.5486075943326907,0.9772754839460464,23.7
rfm_e10_md60_mfAUTO_mln50000_msl8_mss2_tdp50.yml,-0.004427834581431149,0.01868227564940117,4.34889588738229,1.3417555286894307,0.8500910661760559,2.5486075943326907,0.9772754839460464,23.9
rfm_e10_md100_mfAUTO_mln50000_msl4_mss10_tdp50.yml,-0.004807347564471678,0.017919513982595614,4.271177324726871,1.3437074405269829,0.8582148153413963,2.4656507495899023,0.9776815707235536,23.9
rfm_e100_md25_mfAUTO_mln50000_msl4_mss10_tdp25.yml,-0.007017828570165114,0.03898239281383409,9.706678741638736,1.813936579247188,0.908898665527434,6.416362078025571,0.949279148692268,92.5
rfm_e100_md25_mfAUTO_mln50000_msl2_mss5_tdp25.yml,-0.007150212402069312,0.03813790740251255,9.591748281016578,1.8124318660581265,0.9202476983491616,6.3068901374510284,0.9498796884082252,92.6
rfm_e100_md25_mfAUTO_mln50000_msl2_mss2_tdp25.yml,-0.0071828092448140675,0.03813044811495736,9.590758573651724,1.8126828019974148,0.9207775070022546,6.3049912257431915,0.9498848575138996,92.6
rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp75.yml,-0.004368479385892236,0.01846522454678912,3.808173471711761,1.2865636172230153,0.8332191827891542,2.152946614161946,0.98010093941874,169.4
rfm_e50_md60_mfAUTO_mln50000_msl8_mss5_tdp75.yml,-0.0043684793858922285,0.01846522454678912,3.808173471711761,1.2865636172230153,0.8332191827891542,2.1529466141619458,0.98010093941874,172.4
rfm_e50_md60_mfAUTO_mln50000_msl2_mss10_tdp75.yml,-0.004531831897772444,0.01747778585711557,3.7830136804499968,1.2928694254273303,0.8414277746916001,2.111522866745576,0.9802324000190766,174.2
