,features,mean_abs_error,mean_error,median_abs_error,median_error,predict_time,r2,train_time,var_abs_error,var_error
ACP-training-base_rfm_e50_md100_mfAUTO_mln12500_msl8_mss5_tdp75.joblib,ACP-training-base.yml,2.733415187032521,-0.0037663693830095523,1.7986239474517831,0.07439254550623972,0:00:22.225721,0.9144649037386917,1:15:12.079213,8.897762744367583,16.369307143529365
ACP-training-base_rfm_e50_md100_mfAUTO_mln25000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.9042837652923972,-0.004753004068861411,1.235926471268293,0.04011453509070184,0:00:24.251684,0.9576531105981441,1:18:33.981983,4.47786023361214,8.104134301320645
ACP-training-base_rfm_e50_md100_mfAUTO_mln37500_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.5549740163670047,-0.003794478158563448,1.0156152810151395,0.025031900739726592,0:00:25.752144,0.9714162032045965,1:20:47.120890,3.05229404980354,5.4702238433155825
ACP-training-base_rfm_e50_md100_mfAUTO_mln62500_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.1817189839929054,-0.003956071609447738,0.7695708682639801,0.015084576765697744,0:00:26.935784,0.9826455065158554,1:22:18.816078,1.9247650121433941,3.321209118770044
ACP-training-base_rfm_e50_md100_mfAUTO_mln75000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.0496275695495423,-0.003246571104820151,0.6866018283746335,0.012889305274881746,0:00:27.472431,0.9862060272338247,1:23:53.038799,1.5381103220615318,2.6398178165960733
ACP-training-base_rfm_e50_md100_mfAUTO_mln100000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,0.8631140737187077,-0.002847407886605388,0.5662221349244794,0.010644647188261564,0:00:28.761486,0.990382410952634,1:24:43.698148,1.0956049538944768,1.8405627504141016
