,features,mean_abs_error,mean_error,median_abs_error,median_error,predict_time,r2,train_time,var_abs_error,var_error
without-partial-precip_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp.75.joblib,without-partial-precip.yml,1.670859477650577,-0.006351050626793974,1.0271756562129895,0.031232891315027267,0:00:43.192106,0.9646027053767098,1:42:10.805387,3.982403362213315,6.7741344204240415
no-lt-10_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp.75.joblib,no-lt-10.yml,2.619975342172177,-0.005179559738299788,1.577881090045485,0.04684098395898914,0:00:42.756831,0.9136852498700005,0:58:09.984775,9.65425717999988,16.518501145750985
no-max_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp.75.joblib,no-max.yml,1.9717980178054573,-0.0054839510847568725,1.1822710481721295,0.03167156999902687,0:00:38.481279,0.950550712865034,1:24:29.656613,5.575394346407179,9.463351695709196
no-max-no-geo_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp.75.joblib,no-max-no-geo.yml,3.657105703370323,-0.009190326440803752,2.1925891978504852,0.09552837017337429,0:00:40.286096,0.8333848389060565,1:10:49.172399,18.511636690619792,31.885974354143375
