,features,mean_abs_error,mean_error,median_abs_error,median_error,predict_time,r2,train_time,var_abs_error,var_error
with-labels_rfm_e4_md2_mfAUTO_tdp05.joblib,with-labels.yml,4.024843901,0.00167088,3.637262312,0.025016871,00:04.5,0.865928547,00:06.9,9.458622101,25.65798774
with-labels_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp.joblib,with-labels.yml,6.06E-05,-1.66E-07,3.99E-05,-6.97E-08,00:59.3,1,30:17.5,1.58E-08,1.95E-08
with-random_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp.joblib,with-random.yml,1.340045545,-0.004702836,0.868456458,0.01931684,00:42.8,0.97808472,14:22.5,2.398325495,4.19402544
no-geolocation_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp.joblib,no-geolocation.yml,2.036252002,-0.00482438,1.268512283,0.042333818,00:45.7,0.948093138,48:10.4,5.787379203,9.933678142
without-elevation_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp.joblib,without-elevation.yml,1.2965761,-0.004093533,0.83993299,0.018786444,00:41.4,0.979684729,36:36.3,2.206735374,3.887828199
